User,Precision,Recall,F1-Score,Support
user01,0.98,0.99,0.98,172
user02,0.99,0.97,0.98,179
user03,0.97,0.97,0.97,199
user04,0.98,0.98,0.98,168
user05,0.96,0.91,0.94,174
user06,0.95,0.94,0.95,175
user07,0.98,0.96,0.97,134
user08,0.96,0.95,0.96,150
user09,0.97,0.96,0.96,185
user10,0.99,0.97,0.98,167
user11,0.97,0.97,0.97,175
user12,0.93,0.97,0.95,191
user13,0.99,0.95,0.97,159
user14,0.98,0.98,0.98,179
user16,0.94,0.95,0.95,170
user17,0.97,0.95,0.96,185
user18,0.98,0.94,0.96,176
user19,0.91,0.96,0.94,200
user21,0.98,0.97,0.97,168
user22,0.97,0.96,0.97,170
user23,0.94,0.96,0.95,183
user24,0.94,0.94,0.94,176
user25,0.9,0.98,0.94,168
user26,0.99,0.96,0.98,140
user27,0.96,0.97,0.97,161
user28,0.94,0.94,0.94,174
user29,0.95,0.96,0.96,189
user30,0.96,0.94,0.95,143
user31,0.95,0.96,0.95,163
user32,0.98,0.95,0.96,166
user33,0.93,0.95,0.94,156
user34,0.93,0.97,0.95,179
user35,0.99,0.94,0.96,173
user36,0.95,0.97,0.96,174
user37,0.97,0.98,0.97,179
user38,1.0,0.95,0.97,169
user39,0.95,0.9,0.93,164
user40,0.96,0.98,0.97,172
user41,0.9,0.96,0.93,180
user42,0.93,0.9,0.92,168
user43,0.99,0.94,0.96,163
user44,0.95,0.97,0.96,159
user45,0.98,0.97,0.97,174
user46,0.94,0.96,0.95,155
user47,0.96,0.95,0.96,166
user48,0.97,0.98,0.97,171
user49,0.98,0.94,0.96,176
user50,0.95,0.95,0.95,167
user51,0.9,1.0,0.95,162
user52,0.98,0.95,0.97,176
