user,precision,recall,f1-score,support
user1,0,0,0,172
user2,0,0,0,170
user3,0,0,0,176
user4,0,0,0,174
user5,0,0,0,179
user6,0,0,0,186
user7,0,0,0,111
user8,0,0,0,157
user9,0,0,0,165
user10,0,0,0,179
user11,0,0,0,198
user12,0,0,0,168
user13,0,0,0,174
user14,0,0,0,178
user15,0,0,0,48
user16,0,0,0,159
user17,0,0,0,178
user18,0,0,0,169
user19,0,0,0,174
user20,0,0,0,50
user21,0,0,0,181
user22,0,0,0,172
user23,0,0,0,181
user24,0,0,0,167
user25,0,0,0,179
user26,0,0,0,134
user27,0,0,0,204
user28,0,0,0,156
user29,0,0,0,187
user30,0,0,0,161
user31,0,0,0,193
user32,0,0,0,164
user33,0,0,0,173
user34,0,0,0,181
user35,0,0,0,156
user36,0,0,0,157
user37,0,0,0,172
user38,0.02,1,0.04,154
user39,0,0,0,160
user40,0,0,0,179
user41,0,0,0,179
user42,0,0,0,167
user43,0,0,0,176
user44,0,0,0,176
user45,0,0,0,187
user46,0,0,0,160
user47,0,0,0,168
user48,0,0,0,149
user49,1,0.6,0.75,171
user5,0,0,0,179
user50,0,0,0,160
user51,0,0,0,176
user52,0,0,0,166
